station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration,weather,temperature,pressure,humidity,wind_speed,wind_direction
1024,2014-05-01 00:00:00,100.0,156.7,60.4,1.0,108.6,13.2,0.0,18.0,755.9,71.0,2.0,23.0
1024,2014-05-01 01:00:00,94.0,135.0,42.0,0.9,114.0,11.0,0.0,18.0,755.9,71.0,2.0,23.0
1024,2014-05-01 02:00:00,94.0,132.0,35.0,0.9,111.0,8.0,0.0,18.0,755.9,71.0,2.0,23.0
1024,2014-05-01 03:00:00,100.0,144.0,47.0,1.0,83.0,7.0,0.0,18.0,755.9,71.0,2.0,23.0
1024,2014-05-01 04:00:00,102.0,143.0,49.0,1.0,68.0,5.0,0.0,18.0,755.9,71.0,2.0,23.0
1024,2014-05-01 05:00:00,100.0,136.0,44.0,0.9,72.0,6.0,0.0,16.8,755.8,78.0,1.0,13.0
1024,2014-05-01 06:00:00,112.0,146.0,51.0,0.9,60.0,7.0,0.0,16.8,755.8,78.0,1.0,13.0
1024,2014-05-01 07:00:00,117.0,151.0,64.0,1.0,48.0,10.0,0.0,16.8,755.8,78.0,1.0,13.0
1024,2014-05-01 08:00:00,121.0,175.0,81.0,1.0,40.0,15.0,0.0,19.0,756.9,72.0,2.0,23.0
1024,2014-05-01 09:00:00,149.0,219.0,63.0,1.0,62.0,18.0,0.0,19.0,756.9,72.0,2.0,23.0
1024,2014-05-01 10:00:00,165.0,224.0,64.0,1.1,77.0,22.0,0.0,19.0,756.9,72.0,2.0,23.0
1024,2014-05-01 11:00:00,185.0,238.0,77.0,1.2,86.0,24.0,0.0,24.5,756.1,57.0,4.0,23.0
1024,2014-05-01 12:00:00,186.0,238.0,72.0,1.2,120.0,25.0,0.0,24.5,756.1,57.0,4.0,23.0
1024,2014-05-01 13:00:00,191.0,240.0,62.0,1.2,143.0,27.0,0.0,24.5,756.1,57.0,4.0,23.0
1024,2014-05-01 14:00:00,183.0,229.0,42.0,1.5,170.0,43.0,0.0,26.7,753.9,44.0,5.0,3.0
1024,2014-05-01 15:00:00,183.0,234.0,30.0,1.6,196.0,53.0,0.0,26.7,753.9,44.0,5.0,3.0
1024,2014-05-01 16:00:00,180.0,247.0,32.0,1.5,190.0,43.0,0.0,26.7,753.9,44.0,5.0,3.0
1024,2014-05-01 17:00:00,93.0,257.0,29.0,0.8,105.0,20.0,0.0,26.6,753.8,48.0,3.0,2.0
1024,2014-05-01 18:00:00,64.0,279.0,33.0,0.6,69.0,10.0,0.0,26.6,753.8,48.0,3.0,2.0
1024,2014-05-01 19:00:00,82.0,279.0,36.0,0.5,59.0,6.0,0.0,26.6,753.8,48.0,3.0,2.0
1024,2014-05-01 20:00:00,68.0,547.0,31.0,0.5,64.0,6.0,0.0,19.1,756.7,32.0,6.0,4.0
1024,2014-05-01 21:00:00,43.0,128.0,29.0,0.5,59.0,4.0,0.0,19.1,756.7,32.0,6.0,4.0
1024,2014-05-01 22:00:00,35.0,63.0,29.0,0.4,56.0,4.0,0.0,19.1,756.7,32.0,6.0,4.0
1024,2014-05-01 23:00:00,34.0,44.0,23.0,0.4,64.0,5.0,0.0,15.1,759.2,42.0,5.0,4.0
1024,2014-05-02 00:00:00,41.0,46.0,21.0,0.4,66.0,4.0,0.0,15.1,759.2,42.0,5.0,4.0
1024,2014-05-02 01:00:00,32.0,36.0,21.0,0.4,64.0,4.0,0.0,15.1,759.2,42.0,5.0,4.0
1024,2014-05-02 02:00:00,23.0,27.0,19.0,0.3,65.0,3.0,0.0,13.7,759.4,38.0,4.0,24.0
1024,2014-05-02 03:00:00,19.0,29.0,25.0,0.3,61.0,5.0,0.0,13.7,759.4,38.0,4.0,24.0
1024,2014-05-02 04:00:00,22.0,23.0,22.0,0.3,72.0,4.0,0.0,13.7,759.4,38.0,4.0,24.0
1024,2014-05-02 05:00:00,14.0,22.0,22.0,0.3,91.0,2.0,0.0,13.5,760.3,35.0,4.0,24.0
1024,2014-05-02 06:00:00,11.0,44.0,13.0,0.2,105.0,2.0,0.0,13.5,760.3,35.0,4.0,24.0
1024,2014-05-02 07:00:00,16.0,53.0,15.0,0.2,101.0,2.0,0.0,13.5,760.3,35.0,4.0,24.0
1024,2014-05-02 08:00:00,30.0,85.0,15.0,0.2,86.0,2.0,0.0,14.4,762.2,24.0,8.0,4.0
1024,2014-05-02 09:00:00,43.0,195.0,14.0,0.2,87.0,2.0,0.0,14.4,762.2,24.0,8.0,4.0
1024,2014-05-02 10:00:00,29.0,50.0,17.0,0.3,90.0,2.0,0.0,14.4,762.2,24.0,8.0,4.0
1024,2014-05-02 11:00:00,28.0,47.0,23.0,0.3,92.0,2.0,0.0,18.6,763.6,14.0,4.0,24.0
1024,2014-05-02 12:00:00,28.0,47.1,22.6,0.3,91.8,2.5,0.0,18.6,763.6,14.0,4.0,24.0
1024,2014-05-02 13:00:00,28.0,35.8,23.3,0.3,92.4,2.7,0.0,18.6,763.6,14.0,4.0,24.0
1024,2014-05-02 14:00:00,18.0,22.0,19.0,0.2,96.0,2.0,0.0,21.8,761.6,11.0,2.0,3.0
1024,2014-05-02 15:00:00,17.0,22.4,18.6,0.2,96.3,2.0,0.0,21.8,761.6,11.0,2.0,3.0
1024,2014-05-02 16:00:00,18.0,62.1,29.1,0.3,86.8,2.4,0.0,21.8,761.6,11.0,2.0,3.0
1024,2014-05-02 17:00:00,18.0,74.0,26.0,0.3,92.0,2.0,0.0,20.5,762.2,24.0,3.0,24.0
1024,2014-05-02 18:00:00,3.0,95.0,31.0,0.3,83.0,2.0,0.0,20.5,762.2,24.0,3.0,24.0
1024,2014-05-02 19:00:00,10.0,22.0,32.0,0.3,84.0,2.0,0.0,20.5,762.2,24.0,3.0,24.0
1024,2014-05-02 20:00:00,11.0,23.0,37.0,0.3,77.0,3.0,0.0,15.7,763.7,38.0,1.0,14.0
1024,2014-05-02 21:00:00,15.0,26.0,36.0,0.3,75.0,8.0,0.0,15.7,763.7,38.0,1.0,14.0
1024,2014-05-02 22:00:00,11.0,19.0,36.0,0.4,72.0,9.0,0.0,15.7,763.7,38.0,1.0,14.0
1024,2014-05-02 23:00:00,18.0,33.0,84.0,0.5,31.0,6.0,0.0,13.3,763.6,49.0,1.0,2.0
1024,2014-05-03 00:00:00,31.0,68.0,114.0,0.8,4.0,6.0,0.0,13.3,763.6,49.0,1.0,2.0
1024,2014-05-03 01:00:00,17.0,23.0,62.0,0.4,41.0,5.0,0.0,13.3,763.6,49.0,1.0,2.0
1024,2014-05-03 02:00:00,10.0,18.0,33.0,0.3,59.0,4.0,0.0,11.4,762.6,56.0,2.0,23.0
1024,2014-05-03 03:00:00,12.0,15.0,23.0,0.3,67.0,2.0,0.0,11.4,762.6,56.0,2.0,23.0
1024,2014-05-03 04:00:00,12.0,17.0,28.0,0.3,61.0,2.0,0.0,11.4,762.6,56.0,2.0,23.0
1024,2014-05-03 05:00:00,14.0,18.0,23.0,0.3,64.0,2.0,0.0,11.1,761.1,53.0,1.0,23.0
1024,2014-05-03 06:00:00,13.0,45.0,43.0,0.4,44.0,2.0,0.0,11.1,761.1,53.0,1.0,23.0
1024,2014-05-03 07:00:00,34.0,114.0,87.0,0.8,6.0,6.0,0.0,11.1,761.1,53.0,1.0,23.0
1024,2014-05-03 08:00:00,27.0,63.0,81.0,0.5,12.0,8.0,0.0,15.8,760.3,37.0,4.0,23.0
1024,2014-05-03 09:00:00,29.0,59.0,75.0,0.5,26.0,7.0,0.0,15.8,760.3,37.0,4.0,23.0
1024,2014-05-03 10:00:00,32.0,79.0,64.0,0.5,46.0,8.0,0.0,15.8,760.3,37.0,4.0,23.0
1024,2014-05-03 11:00:00,42.0,81.0,63.0,0.5,65.0,10.0,0.0,21.7,757.3,27.0,5.0,3.0
1024,2014-05-03 12:00:00,60.0,95.0,87.0,0.6,61.0,11.0,0.0,21.7,757.3,27.0,5.0,3.0
1024,2014-05-03 13:00:00,59.0,95.3,86.8,0.6,61.4,10.6,0.0,21.7,757.3,27.0,5.0,3.0
1024,2014-05-03 14:00:00,64.0,111.1,111.2,0.7,46.0,12.0,0.0,21.6,756.5,24.0,6.0,23.0
1024,2014-05-03 15:00:00,27.0,90.0,25.0,0.3,92.0,8.0,0.0,21.6,756.5,24.0,6.0,23.0
1024,2014-05-03 16:00:00,27.0,90.5,25.3,0.3,91.8,7.6,0.0,21.6,756.5,24.0,6.0,23.0
1024,2014-05-03 17:00:00,26.0,178.0,22.0,0.2,97.0,2.0,0.0,22.0,756.4,12.0,4.0,24.0
1024,2014-05-03 18:00:00,38.0,433.0,18.0,0.2,92.0,2.0,0.0,22.0,756.4,12.0,4.0,24.0
1024,2014-05-03 19:00:00,32.0,276.0,18.0,0.2,89.0,2.0,0.0,22.0,756.4,12.0,4.0,24.0
1024,2014-05-03 20:00:00,25.0,174.0,20.0,0.2,83.0,2.0,0.0,17.1,760.5,16.0,9.0,24.0
1024,2014-05-03 21:00:00,15.0,147.0,16.0,0.2,83.0,2.0,0.0,17.1,760.5,16.0,9.0,24.0
1024,2014-05-03 22:00:00,23.0,180.0,17.0,0.2,82.0,2.0,0.0,17.1,760.5,16.0,9.0,24.0
1024,2014-05-03 23:00:00,26.0,119.0,20.0,0.2,79.0,2.0,0.0,13.2,763.3,23.0,5.0,24.0
1024,2014-05-04 00:00:00,22.0,65.0,21.0,0.2,74.0,2.0,0.0,13.2,763.3,23.0,5.0,24.0
1024,2014-05-04 01:00:00,22.0,32.0,16.0,0.2,80.0,2.0,0.0,13.2,763.3,23.0,5.0,24.0
1024,2014-05-04 02:00:00,23.0,27.0,14.0,0.2,82.0,2.0,0.0,11.4,763.5,27.0,4.0,24.0
1024,2014-05-04 03:00:00,24.0,33.0,23.0,0.2,73.0,2.0,0.0,11.4,763.5,27.0,4.0,24.0
1024,2014-05-04 04:00:00,33.0,43.0,29.0,0.3,65.0,4.0,0.0,11.4,763.5,27.0,4.0,24.0
1024,2014-05-04 05:00:00,39.0,49.0,31.0,0.4,60.0,11.0,0.0,9.8,763.6,28.0,3.0,24.0
